Quarter,Region,State,Purpose,Trips,ds,year,ma_8,lag_8,ewm_8
1998 Q1,Adelaide,South Australia,Business,135.0776903,1998-01-01,1998,,,
1998 Q2,Adelaide,South Australia,Business,109.987316,1998-04-01,1998,,,
1998 Q3,Adelaide,South Australia,Business,166.0346866,1998-07-01,1998,,,
1998 Q4,Adelaide,South Australia,Business,127.1604643,1998-10-01,1998,,,
1999 Q1,Adelaide,South Australia,Business,137.4485333,1999-01-01,1999,,,
1999 Q2,Adelaide,South Australia,Business,199.9125861,1999-04-01,1999,,,
1999 Q3,Adelaide,South Australia,Business,169.3550898,1999-07-01,1999,,,
1999 Q4,Adelaide,South Australia,Business,134.3579372,1999-10-01,1999,147.41678795,,
2000 Q1,Adelaide,South Australia,Business,154.034398,2000-01-01,2000,149.78637641249998,135.0776903,135.0776903
2000 Q2,Adelaide,South Australia,Business,168.7763637,2000-04-01,2000,157.135007375,109.987316,118.05207916785714
2000 Q3,Adelaide,South Australia,Business,223.0651159,2000-07-01,2000,164.2638110375,166.0346866,146.3093732673736
2000 Q4,Adelaide,South Australia,Business,241.2206893,2000-10-01,2000,178.52133916250003,127.1604643,135.69670628230446
2001 Q1,Adelaide,South Australia,Business,132.5000378,2001-01-01,2001,177.90277722500002,137.4485333,136.64124548825015
2001 Q2,Adelaide,South Australia,Business,178.3980945,2001-04-01,2001,175.21346577499997,199.9125861,170.32242131610346
2001 Q3,Adelaide,South Australia,Business,195.9963258,2001-07-01,2001,178.543620275,169.3550898,169.81056057812393
2001 Q4,Adelaide,South Australia,Business,101.1746931,2001-10-01,2001,174.39571476249998,134.3579372,151.10387093980268
2002 Q1,Adelaide,South Australia,Business,237.8327914,2002-01-01,2002,184.8705139375,154.034398,152.64810762146814
2002 Q2,Adelaide,South Australia,Business,150.7266327,2002-04-01,2002,182.6142975625,168.7763637,161.1414937060779
2002 Q3,Adelaide,South Australia,Business,167.7128424,2002-07-01,2002,175.695263375,223.0651159,193.74165589552533
2002 Q4,Adelaide,South Australia,Business,140.3395127,2002-10-01,2002,163.08511629999998,241.2206893,218.73380996326733
2003 Q1,Adelaide,South Australia,Business,139.4467919,2003-01-01,2003,163.9534605625,132.5000378,173.34487058230218
2003 Q2,Adelaide,South Australia,Business,159.6580081,2003-04-01,2003,161.61094976249998,178.3980945,176.00453826831628
2003 Q3,Adelaide,South Australia,Business,232.1073047,2003-07-01,2003,166.124822125,195.9963258,186.52667441050372
2003 Q4,Adelaide,South Australia,Business,158.5960175,2003-10-01,2003,173.302487675,101.1746931,141.60429039122909
